function	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
1.3.1.25-RXN	430.5	263.1	407.84	466.37	613.2399999999999	485.0100000000001	201.94	278.53000000000003	245.73	271.79999999999995	335.03	500.67	258.57	256.70000000000005	208.26	266.61	341.13	267.47
1.3.1.29-RXN	9.0	1.0	27.0	15.0	21.0	5.0	4.0	23.0	2.0	8.0	16.0	7.0	10.0	5.0	4.0	5.0	21.0	16.0
1.3.1.54-RXN	3269.8	4665.040000000001	4406.120000000001	3919.92	3555.44	3668.9	3747.8	3953.34	3365.890000000001	3483.7899999999995	3875.14	3666.48	3993.77	3606.4	3689.18	4040.09	4001.9200000000014	3946.36
1.3.1.56-RXN	0.0	5.0	8.0	3.0	1.0	1.0	4.0	2.0	3.0	1.0	3.0	4.0	3.0	2.0	3.0	4.0	4.0	3.0
1.3.1.60-RXN	9.0	1.0	27.0	15.0	21.0	5.0	4.0	23.0	2.0	8.0	16.0	7.0	10.0	5.0	4.0	5.0	21.0	16.0
1.3.1.62-RXN	4.0	0.0	0.0	0.0	4.0	2.0	4.0	2.0	2.0	2.0	0.0	0.0	32.0	0.0	0.0	4.0	2.0	4.0
1.3.1.64-RXN	13.33	2.17	27.17	18.13	22.77	7.37	9.37	35.6	3.1300000000000003	11.1	17.729999999999997	14.7	10.37	5.57	4.93	6.57	22.8	17.17
1.3.1.9-RXN	13964.6	14778.489999999998	17886.460000000006	16419.94	18248.619999999995	15866.56	14604.75	14285.14	13939.579999999998	14312.660000000002	14984.69	13773.17	14939.9	15793.3	14586.02	14787.34	15325.639999999996	15412.78
1.3.99.15-RXN	8.0	10.0	22.0	12.0	4.0	8.0	22.0	14.0	14.0	10.0	14.0	22.0	10.0	8.0	6.0	14.0	12.0	12.0
1.3.99.16-RXN	32349.39	25753.61	34479.06	34765.64	44336.92000000001	34199.810000000005	23242.77	19631.809999999994	25487.61	26799.28	27168.839999999997	22552.27	29872.270000000004	36178.419999999984	26921.469999999994	28878.56	31173.81	28080.25
1.3.99.23-RXN	416.43	376.62	1083.08	452.57	734.09	407.71	532.14	1063.6999999999996	936.09	832.6700000000002	565.2299999999998	456.43	721.67	764.2899999999997	703.53	511.29	743.9	832.4699999999998
1.3.99.5-RXN	24.0	26.0	35.0	14.0	16.0	20.0	27.0	25.0	17.0	27.0	24.0	24.0	37.0	15.0	37.0	27.0	19.0	28.0
1.4.1.11-RXN	1472.4799999999993	2578.67	1817.17	1884.6600000000005	1323.84	1458.9899999999993	1622.4999999999998	2045.8300000000006	1790.84	1402.66	1871.13	1477.8499999999995	2327.83	1921.9800000000007	1983.18	1981.31	1745.17	2107.02
1.4.1.21-RXN	644.0	650.6	747.8399999999998	668.3700000000001	905.49	744.51	748.6899999999998	584.0300000000002	465.73	570.8000000000002	611.0300000000002	534.6700000000002	614.0699999999998	552.1999999999998	626.7600000000001	644.86	608.1300000000001	671.22
1.4.3.19-RXN	5878.01	6875.169999999999	7146.420000000001	7034.9299999999985	7083.749999999999	6414.64	5729.589999999998	5696.38	5550.8600000000015	5588.74	6124.81	5571.570000000002	6335.659999999999	6198.549999999997	5908.350000000002	6223.6799999999985	6339.05	6141.540000000001
1.4.99.5-RXN	4.32	23.68	0.0	39.0	67.32	23.32	50.0	127.32	20.68	101.0	55.32	129.0	11.0	8.68	32.32	19.32	41.68	35.32
1.5.1.20-RXN	10764.06	11438.87	12626.35	11821.89	13030.589999999998	11879.42	10372.45	10402.97	10676.36	10714.56	11270.53	10094.22	11541.39	12081.329999999998	11034.450000000004	11611.37	11591.89	11644.42
1.5.1.25-RXN	35.0	33.0	12.0	9.0	23.0	44.0	68.0	31.0	26.0	26.0	43.0	60.0	13.0	12.0	21.0	16.0	27.0	22.0
1.5.1.28-RXN	353.0	309.0	371.0	412.0	402.5	453.0	339.5	254.0	218.0	209.5	331.0	520.0	212.5	211.5	230.5	279.0	332.0	273.5
1.5.1.34-RXN	418.5	300.5	869.5	836.8000000000002	910.6	764.7	227.7	808.1	841.3000000000002	584.6	408.4	516.7	693.7	971.9	476.1	421.4	702.8000000000002	682.5
1.5.1.7-RXN	728.2000000000003	1130.61	953.4	850.0800000000003	811.67	742.4899999999999	756.7799999999999	706.6700000000002	760.9000000000002	755.62	872.5799999999998	692.9200000000002	954.89	722.8	854.9200000000002	903.56	790.43	755.65
1.5.1.9-RXN	276.31999999999994	422.66	308.0	332.0	211.33	280.0	272.66	382.32	366.0	278.66	293.9899999999999	263.66	324.33	249.33	321.3400000000001	246.33	299.0	278.67
1.5.5.1-RXN	6791.4	5572.22	7662.560000000001	7436.339999999998	9605.18	7792.240000000002	5905.17	4945.829999999999	5352.83	5873.459999999999	6509.33	5838.130000000001	5700.58	7049.08	5994.87	6407.509999999998	6621.21	6446.07
1.5.8.1-RXN	210.67	206.84	370.34	238.66000000000003	319.75	233.17	234.25	218.33	139.83	219.17	254.16000000000003	213.34	187.67	205.84	165.83	174.75	245.0	240.58
1.5.8.2-RXN	210.67	206.84	370.34	238.66000000000003	319.75	233.17	234.25	218.33	139.83	219.17	254.16000000000003	213.34	187.67	205.84	165.83	174.75	245.0	240.58
1.6.4.4-RXN	12431.13	9836.27	13220.94	12784.410000000002	16277.319999999998	13451.110000000002	10208.03	8845.869999999999	11163.840000000002	11419.26	11293.159999999998	10112.93	11461.169999999998	13782.8	11424.010000000002	11560.55	12020.28	12011.9
1.7.2.2-RXN	72.5	45.0	42.33	60.33	58.67	37.67	87.17	62.83	63.83	67.33	72.0	95.5	60.17	70.5	57.0	64.5	41.83	73.0
1.7.2.3-RXN	26.66	10.84	18.34	13.16	31.84	18.34	18.84	27.0	20.66	58.5	30.16	33.0	27.84	49.34	26.16	23.84	32.0	18.34
1.7.7.2-RXN	256.0	202.33000000000004	312.65	117.0	107.99	151.00000000000003	397.67	216.99	456.99	406.67	245.66	296.33	263.67	275.67	271.0	247.0	213.33	204.33
1.8.1.15-RXN	712.41	1410.0	1242.5	985.91	604.25	669.41	787.5	814.34	647.5	686.5	888.16	717.16	1159.34	798.0	983.5	1035.25	919.75	1085.41
1.8.1.4-RXN	28193.60000000001	30560.430000000015	32654.160000000014	32480.029999999995	34226.41000000002	31158.969999999994	26689.01000000001	26487.25	27459.59	27129.549999999985	29196.999999999985	26245.0	31167.62000000001	32805.19000000002	28915.18	30581.03	30885.089999999986	30175.470000000016
1.8.4.12-RXN	13113.22	14013.77	16910.16	15126.36	17179.099999999995	15010.06	13369.11	13302.67	13162.010000000002	13445.91	13971.439999999995	12897.23	13777.36	14770.209999999995	13537.480000000005	13765.6	14165.179999999995	14418.98
1.8.4.8-RXN	10093.99	10705.6	11860.83	11317.100000000002	12239.07	11167.050000000005	9873.850000000002	9785.88	9915.570000000003	10011.490000000002	10491.68	9583.05	10915.670000000002	11305.199999999995	10435.840000000004	10698.3	10798.93	10887.46
1.8.4.9-RXN	3.0	0.0	1.0	0.0	0.0	0.0	4.0	2.0	0.0	2.0	1.0	4.0	0.0	1.0	0.0	1.0	2.0	1.0
1.8.5.2-RXN	2090.08	3130.19	2580.82	2548.2700000000004	1452.6700000000005	1896.41	2189.640000000001	2644.09	3033.1700000000005	2308.830000000001	2349.36	2207.91	2737.189999999999	1925.91	2402.26	2762.82	2324.6900000000005	2607.9600000000005
1.8.98.1-RXN	69.0	76.0	70.0	38.0	24.0	35.0	78.0	46.0	41.0	38.0	31.0	40.0	49.0	41.0	88.0	60.0	45.0	107.0
13-PROPANEDIOL-DEHYDROGENASE-RXN	14.0	20.0	19.33	14.33	5.0	17.33	16.33	22.0	10.67	19.67	12.67	23.67	6.33	5.33	12.67	9.0	7.0	13.33
1PFRUCTPHOSN-RXN	2807.68	4460.47	3010.7999999999993	3370.04	2196.4100000000008	2735.26	3468.4700000000007	3917.32	3420.76	3145.79	3424.05	3381.97	4088.739999999999	3172.58	3399.699999999999	3614.67	3502.470000000001	3555.9099999999994
1TRANSKETO-RXN	20101.280000000013	23278.630000000005	24939.050000000007	22976.680000000004	24049.58	22271.34	20575.15	20369.89000000001	20696.31	20867.81	21757.6	20096.1	22715.12000000001	22959.58	21463.420000000013	22402.65000000001	22782.02	22220.35000000001
2-DEHYDROPANTOATE-REDUCT-RXN	14699.969999999996	14542.420000000002	16714.1	16173.94	18999.16	16099.63	13631.57	11729.94	12882.2	13747.18	14382.999999999998	12498.32	14127.23	14878.44	13993.88	14802.89	14538.5	14477.59
2-ENOATE-REDUCTASE-RXN	33.77	0.0	3.0	6.0	12.0	21.0	9.0	0.22	6.550000000000002	7.56	12.0	22.11	3.0	0.0	12.0	0.0	6.0	6.0
2-FUROATE--COA-LIGASE-RXN	20.13	11.1	181.84	51.0	29.64	24.64	13.37	28.73	14.6	14.23	30.46	17.1	7.370000000000001	11.1	19.66	22.040000000000006	35.13	17.3
2-HALOACID-DEHALOGENASE-RXN	8897.11	8692.6	11289.63	11165.69	12987.25	11002.58	8919.11	7768.159999999999	7795.109999999999	8912.449999999999	9407.95	8628.09	8770.61	9529.53	8439.730000000001	9675.42	9722.91	9344.419999999998
2-HYDROXYGLUTARATE-DEHYDROGENASE-RXN	42.0	44.5	24.0	37.0	16.0	56.0	65.0	48.0	38.5	38.0	44.0	61.5	32.5	23.0	31.0	21.5	56.0	35.0
