"ID","filed","Kingdom","Phylum","Class","Order","Family","Genus","group","Label"
"Hydrogonium","fun","Viridiplantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae","Hydrogonium","fun","Hydrogonium"
"Hyphomicrobium","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","bac","Hyphomicrobium"
"Latescibacteria_genera_incertae_sedis","bac","Bacteria","Latescibacteria","Unassigned","Unassigned","Unassigned","Latescibacteria_genera_incertae_sedis","bac","Latescibacteria_genera_incertae_sedis"
"Litchi","fun","Viridiplantae","Anthophyta","Eudicotyledonae","Sapindales","Sapindaceae","Litchi","fun","Litchi"
"Mesorhizobium","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","bac","Mesorhizobium"
"Methyloversatilis","bac","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis","bac","Methyloversatilis"
"Microascus","fun","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Microascus","fun","Microascus"
"Micronematobotrys","fun","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Micronematobotrys","fun","Micronematobotrys"
"Mortierella","fun","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","fun","Mortierella"
"Neospongiococcum","fun","Viridiplantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlorococcaceae","Neospongiococcum","fun","Neospongiococcum"
"Neurospora","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariaceae","Neurospora","fun","Neurospora"
"Niastella","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Niastella","bac","Niastella"
"Nitrosopumilus","bac","Archaea","Thaumarchaeota","Unassigned","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","bac","Nitrosopumilus"
"Nitrososphaera","bac","Archaea","Thaumarchaeota","Unassigned","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaera","bac","Nitrososphaera"
"Nitrosospira","bac","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosospira","bac","Nitrosospira"
"Nitrospira","bac","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira","bac","Nitrospira"
"Novosphingobium","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","bac","Novosphingobium"
"Parafilimonas","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Parafilimonas","bac","Parafilimonas"
"Paraphaeosphaeria","fun","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria","fun","Paraphaeosphaeria"
"Pedobacter","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","bac","Pedobacter"
"Penicillium","fun","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","fun","Penicillium"
"Phenylobacterium","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","bac","Phenylobacterium"
"Pirellula","bac","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Pirellula","bac","Pirellula"
"Polyschema","fun","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Polyschema","fun","Polyschema"
"Pouzolzia","fun","Viridiplantae","Anthophyta","Eudicotyledonae","Rosales","Urticaceae","Pouzolzia","fun","Pouzolzia"
"Povalibacter","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Povalibacter","bac","Povalibacter"
"Powellomyces","fun","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Powellomycetaceae","Powellomyces","fun","Powellomyces"
"Pseudaleuria","fun","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Pseudaleuria","fun","Pseudaleuria"
"Pseudoduganella","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Pseudoduganella","bac","Pseudoduganella"
"Pseudogulbenkiania","bac","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Pseudogulbenkiania","bac","Pseudogulbenkiania"
"Pseudogymnoascus","fun","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Pseudogymnoascus","fun","Pseudogymnoascus"
"Pseudolabrys","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","bac","Pseudolabrys"
