"","X1","X2","elements","filed","Kingdom","Phylum","Class","Order","Family","Genus","group","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"Aspergillus",15.1192281591316,-6.14240965510238,"Aspergillus","fun","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","fun",0,0,0,0
"Aureobasidium",-7.27327601625119,-5.13510111187371,"Aureobasidium","fun","Fungi","Ascomycota","Dothideomycetes","Dothideales","Aureobasidiaceae","Aureobasidium","fun",1,0.237226277372263,0,1
"Azoarcus",8.7501946326092,1.57817491977286,"Azoarcus","bac","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Azoarcus","bac",1,0.198170731707317,0,1
"Azonexus",15.5795521354168,0.839988408353279,"Azonexus","bac","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Azonexus","bac",0,0,0,0
"Bacillus",-5.40584977441401,-6.02946609666825,"Bacillus","bac","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Bacillus","bac",1,0.277777777777778,0,1
"Badarisama",-15.4945917638106,2.2590956248352,"Badarisama","fun","Fungi","Ascomycota","Pezizomycotina_cls_Incertae_sedis","Pezizomycotina_ord_Incertae_sedis","Pezizomycotina_fam_Incertae_sedis","Badarisama","fun",0,0,0,0
"Boothiomyces",-16.7180074496722,4.27626990636105,"Boothiomyces","fun","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","Terramycetaceae","Boothiomyces","fun",0,0,0,0
"Botryotrichum",-8.616995655452,12.5202623961345,"Botryotrichum","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Botryotrichum","fun",0,0,0,0
"Bourletiella",5.08866109184858,15.9485922582265,"Bourletiella","fun","Metazoa","Arthropoda","Collembola","Unassigned","Bourletiellidae","Bourletiella","fun",0,0,0,0
"Bradyrhizobium",3.79778092730863,7.37912929289316,"Bradyrhizobium","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","bac",2,0.666666666666667,3,2
"Bryum",-2.96661245291165,9.8153781279065,"Bryum","fun","Viridiplantae","Bryophyta","Bryopsida","Bryales","Bryaceae","Bryum","fun",1,0.666666666666667,0,1
"Burkholderia",5.04612329315703,-12.163590259863,"Burkholderia","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","bac",2,0.25,109.224139628487,2
"Caldalkalibacillus",13.7073400837718,-9.64704907053825,"Caldalkalibacillus","bac","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_incertae_sedis","Caldalkalibacillus","bac",0,0,0,0
"Candidatus_Solibacter",6.32086314533024,-14.9296828879671,"Candidatus_Solibacter","bac","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Candidatus_Solibacter","bac",1,0.238970588235294,0,1
"Chaetomium",-4.59675003484141,-16.096920237329,"Chaetomium","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","fun",0,0,0,0
"Chaetosphaeria",-5.47319911463859,-8.7899738169591,"Chaetosphaeria","fun","Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Chaetosphaeria","fun",2,0.275423728813559,4.57493772137735,2
"Chlamydomonas",1.80901118575813,12.4809797838115,"Chlamydomonas","fun","Viridiplantae","Chlorophyta","Unassigned","Unassigned","Unassigned","Chlamydomonas","fun",1,0.666666666666667,0,1
"Chlorococcum",-9.88773825709055,8.1898731127713,"Chlorococcum","fun","Viridiplantae","Chlorophyta","Unassigned","Unassigned","Unassigned","Chlorococcum","fun",1,0.666666666666667,0,1
"Chondromyces",3.79775913455863,-14.9416861987206,"Chondromyces","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Chondromyces","bac",1,0.251937984496124,0,1
"Chryseolinea",-0.320391850128264,8.69229628189091,"Chryseolinea","bac","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Unassigned","Chryseolinea","bac",2,1,1,2
"Chrysosporium",11.6417470500548,9.68543437683955,"Chrysosporium","fun","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenales_fam_Incertae_sedis","Chrysosporium","fun",1,1,0,1
"Cladophialophora",-6.75982662023685,-14.9867820333116,"Cladophialophora","fun","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","fun",0,0,0,0
"Cladosporium",1.78283346725374,0.616546357583409,"Cladosporium","fun","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","fun",9,0.342105263157895,229.716367197589,9
"Clonostachys",-6.73634017346527,14.7135629710633,"Clonostachys","fun","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Clonostachys","fun",0,0,0,0
"Coelastrella",-11.4135921239674,11.3277032567231,"Coelastrella","fun","Viridiplantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Coelastrella","fun",0,0,0,0
"Colletotrichum",-5.72481094365359,17.2753632774158,"Colletotrichum","fun","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","fun",0,0,0,0
"Conlarium",-0.47129141301105,-15.3204807256559,"Conlarium","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariales_fam_Incertae_sedis","Conlarium","fun",7,0.3125,298.920649249135,7
"Conocybe",-0.683843431299217,0.742888667619745,"Conocybe","fun","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Conocybe","fun",8,0.325,131.807971928189,8
"Corynascella",-10.1321637560877,12.8033929543615,"Corynascella","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Corynascella","fun",0,0,0,0
"Crenobacter",-2.98548918887642,-11.7230183539799,"Crenobacter","bac","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Crenobacter","bac",1,0.238970588235294,0,1
"Criconemoides",-18.0903329722841,-6.39453143919337,"Criconemoides","fun","Metazoa","Nematoda","Chromadorea","Rhabditida","Criconematidae","Criconemoides","fun",0,0,0,0
"Cupriavidus",-2.4731061291327,2.72436065390002,"Cupriavidus","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus","bac",2,0.290178571428571,5.49376762279912,2
"Cylindrocarpon",10.0536911367926,-0.0129609910485975,"Cylindrocarpon","fun","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cylindrocarpon","fun",1,0.227272727272727,0,1
"Cyrtohymena",14.2722078063401,-7.60779192264715,"Cyrtohymena","fun","Alveolata","Ciliophora","Spirotrichea","Sporadotrichida","Oxytrichidae","Cyrtohymena","fun",0,0,0,0
"Cystobacter",16.993219335034,2.33409739763437,"Cystobacter","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae","Cystobacter","bac",0,0,0,0
"Desertibacter",2.69496141965722,-16.3967537461249,"Desertibacter","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Desertibacter","bac",1,0.251937984496124,0,1
"Devosia",4.68842196242607,9.95356943437649,"Devosia","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia","bac",1,0.5,0,1
"Dokdonella",-2.70464001820234,-0.220687055860761,"Dokdonella","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Dokdonella","bac",4,0.357142857142857,169.037895518131,4
"Dongia",4.32822448843259,-9.07995357491708,"Dongia","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia","bac",1,0.251937984496124,0,1
"Duganella",15.8385328361506,7.06428773335938,"Duganella","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella","bac",0,0,0,0
"Ensifer",-7.03970623652221,7.32057294654204,"Ensifer","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ensifer","bac",2,1,1,2
"Exophiala",8.10150465188555,-17.0335056808121,"Exophiala","fun","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","fun",0,0,0,0
"Fibulochlamys",-9.53172591512707,15.3053262159376,"Fibulochlamys","fun","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lyophyllaceae","Fibulochlamys","fun",0,0,0,0
"Flavisolibacter",-9.61844990626057,-5.25649554606274,"Flavisolibacter","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Flavisolibacter","bac",3,0.290178571428571,31.3313555725321,3
"Flavitalea",-14.2080789130637,-9.7955442648955,"Flavitalea","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Flavitalea","bac",1,0.235507246376812,0,1
"Fusarium",16.2337579867693,-8.62813016023909,"Fusarium","fun","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","fun",0,0,0,0
"Fuscheria",-1.34119640052519,17.9493165542259,"Fuscheria","fun","Alveolata","Ciliophora","Litostomatea","Haptorida","Acropisthiidae","Fuscheria","fun",0,0,0,0
