ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_119	-0.382	11.269	0.296327570705448	0.541795129992145	NotSig	0.124	0.168	0.114	0.136	0.178	0.106	0.123	0.088	0.165	0.085	0.224	0.088	0.188	0.256
ASV_140	0.412	11.054	0.297703866591162	0.541795129992145	NotSig	0.139	0.108	0.114	0.104	0.089	0.144	0.239	0.143	0.047	0.116	0.166	0.112	0.149	0.056
ASV_129	-0.345	11.209	0.303933275977354	0.541795129992145	NotSig	0.123	0.158	0.14	0.208	0.074	0.121	0.058	0.135	0.165	0.131	0.207	0.16	0.118	0.168
ASV_107	0.517	11.438	0.31176773251393	0.541795129992145	NotSig	0.196	0.136	0.157	0.144	0.022	0.235	0.196	0.422	0.244	0.139	0.124	0.08	0.125	0.104
ASV_69	0.261	11.919	0.312772798639865	0.541795129992145	NotSig	0.256	0.219	0.253	0.28	0.275	0.242	0.246	0.239	0.181	0.185	0.257	0.183	0.282	0.224
ASV_160	-0.357	10.653	0.314489470339775	0.541795129992145	NotSig	0.078	0.102	0.044	0.128	0.067	0.106	0.043	0.08	0.11	0.069	0.1	0.112	0.11	0.112
ASV_145	0.638	10.878	0.315489217819151	0.541795129992145	NotSig	0.13	0.087	0.035	0.192	0.156	0.038	0.058	0.302	0.032	0.023	0.091	0.231	0.055	0.088
ASV_96	0.721	11.526	0.315933652721259	0.541795129992145	NotSig	0.212	0.136	0.157	0.056	0.052	0.053	0.891	0.064	0.142	0.077	0.224	0.12	0.133	0.12
ASV_133	0.347	11.312	0.31714836877589	0.541795129992145	NotSig	0.167	0.133	0.14	0.12	0.171	0.242	0.145	0.183	0.126	0.116	0.075	0.144	0.235	0.104
ASV_149	-0.419	11.016	0.330359221144819	0.558545487296395	NotSig	0.102	0.141	0.079	0.176	0.059	0.061	0.094	0.143	0.126	0.054	0.29	0.128	0.149	0.096
ASV_143	-0.451	10.883	0.337981873333938	0.565602318640468	NotSig	0.09	0.128	0.14	0.04	0.037	0.083	0.167	0.072	0.071	0.077	0.191	0.239	0.11	0.08
ASV_157	0.412	10.944	0.350702749846443	0.580962131058754	NotSig	0.129	0.098	0.114	0.176	0.149	0.045	0.065	0.223	0.063	0.108	0.058	0.104	0.173	0.08
ASV_66	0.297	12.212	0.354575293153867	0.581503480772341	NotSig	0.32	0.265	0.253	0.28	0.357	0.363	0.312	0.358	0.236	0.339	0.207	0.215	0.439	0.152
ASV_32	-0.202	12.964	0.360607454872157	0.585540817812215	NotSig	0.465	0.55	0.428	0.448	0.535	0.477	0.471	0.43	0.449	0.524	0.556	0.598	0.51	0.664
ASV_62	0.22	12.19	0.370179715242216	0.59519091470317	NotSig	0.309	0.27	0.279	0.328	0.275	0.348	0.319	0.302	0.268	0.308	0.282	0.215	0.314	0.232
ASV_102	0.463	11.638	0.382932055462748	0.60832863190427	NotSig	0.217	0.161	0.227	0.088	0.245	0.106	0.478	0.159	0.102	0.331	0.058	0.088	0.188	0.2
ASV_46	0.328	12.307	0.385769376329537	0.60832863190427	NotSig	0.344	0.285	0.393	0.152	0.439	0.326	0.471	0.287	0.142	0.162	0.307	0.367	0.463	0.272
ASV_132	0.265	11.106	0.400471243998765	0.625497943007595	NotSig	0.139	0.118	0.14	0.192	0.089	0.182	0.138	0.096	0.118	0.1	0.166	0.096	0.125	0.104
ASV_51	-0.361	12.559	0.409511757549269	0.627760503125327	NotSig	0.327	0.434	0.323	0.575	0.528	0.136	0.123	0.279	0.449	0.177	0.407	0.702	0.416	0.456
ASV_34	-0.243	12.809	0.409575450209817	0.627760503125327	NotSig	0.413	0.498	0.62	0.4	0.424	0.356	0.217	0.462	0.504	0.524	0.664	0.367	0.361	0.568
ASV_60	-0.291	12.11	0.42065584170687	0.638773685554877	NotSig	0.241	0.305	0.201	0.224	0.171	0.182	0.478	0.191	0.284	0.393	0.307	0.319	0.157	0.368
ASV_13	-0.442	13.621	0.426384851301528	0.641533170765602	NotSig	0.666	0.938	0.087	0.352	1.658	0.818	0.427	0.653	0.772	0.809	0.622	0.439	1.396	1.592
ASV_138	-0.422	11.079	0.44409251880137	0.662101573485679	NotSig	0.108	0.144	0.07	0.184	0.074	0.106	0.014	0.199	0.252	0.146	0.124	0.032	0.11	0.2
ASV_12	-0.169	14.031	0.465439791186666	0.685010829769212	NotSig	1.004	1.155	0.926	1.007	0.915	1.014	1.174	0.987	1.017	1.51	1.228	1.42	0.847	0.912
