#OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
be6c881cc3db5dcd38a4fab924aed05c	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	39.0	0.0	0.0	0.0	0.0
61ba432bab20f14356ce414adb87ab01	0.0	14.0	0.0	0.0	22.0	27.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	16.0	16.0	0.0	0.0	0.0
8cbbd9ec55e4fbe587eb16e67b534dd4	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0
b7cb039533ae892596504c25ef5efae6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0
4e20dd0b3a25e9242830a2fc8d18a99f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	26.0	0.0	15.0	26.0	0.0	21.0	0.0	9.0
6fcaa88ff490a593efef3a4697108847	0.0	0.0	0.0	117.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8f5ef4d1bc539041d0b41bf06a2a2acf	0.0	0.0	0.0	13.0	0.0	20.0	24.0	0.0	29.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0
9559d2b301aeb4e6d2757be12c6bc1e1	0.0	12.0	23.0	0.0	0.0	0.0	0.0	9.0	0.0	11.0	12.0	0.0	20.0	0.0	19.0	10.0	0.0	0.0
4eec4b252a1a6ffa73260e17c044fa97	0.0	30.0	0.0	16.0	0.0	23.0	22.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0
a60f897681c48bd6734f68b8bedaff66	0.0	0.0	28.0	16.0	0.0	40.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0
d9d3de099ab980a6e37338c7427cf818	0.0	0.0	0.0	14.0	22.0	0.0	13.0	0.0	0.0	10.0	0.0	0.0	0.0	39.0	0.0	0.0	16.0	0.0
1c7d579abfb3bc5ef79bca71c3c41f6f	0.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dd493d127de0ec7c6cd15fb7f2942ee3	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	33.0
509f933abf0f9319d005a938986a9e9c	0.0	0.0	19.0	27.0	13.0	16.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	21.0	0.0	0.0	0.0	0.0
5a2423686ab5ec8ccdc8e689cd38c3bb	0.0	0.0	11.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	18.0	17.0	14.0	7.0	21.0
c11622ac4f14d6ac2d186b1844ac0f15	0.0	0.0	35.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18f8d16e5a6a08d983d4afb93a488ce0	0.0	0.0	26.0	31.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0
12d6688313e02b093d5bdf7f584fc398	0.0	0.0	0.0	21.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0
1d667ccee5e06e1ebf0f25422f888604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
79d0dd0d6f10c3e18fe8ecae8354c442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	13.0	0.0	7.0	10.0	0.0	20.0	18.0	14.0	13.0	0.0
9c2a0cc6065de7aa69bb22fac0f0b8d4	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	18.0	36.0	0.0	0.0	0.0	0.0	11.0
42ea43379d3fa81ef069dcfce9a7353e	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0
dfada7ee464c4e9c54a8781c2dfd4868	0.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0
f86297c7642a31d4cf009514359f0159	0.0	0.0	26.0	26.0	0.0	25.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4b39aa5ed55667bfbc1f474a28e2461e	0.0	0.0	0.0	0.0	11.0	32.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	17.0	13.0	0.0	0.0	0.0
ea3519e75e6087248647016159af3da7	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0
3f416fdba05d3e90fa242191b6004d7a	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	44.0	0.0	0.0
b63c75a6cbd7a552350eeb081b92b42a	0.0	45.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0
3b386c6179ee5d070d9b7f0e4162ebe7	0.0	19.0	0.0	12.0	0.0	14.0	29.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cfc3693116ffe716dac660f5739ccac3	0.0	0.0	67.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0
7ebb71f826fed1dee44aea077124c9bf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	51.0	0.0	0.0	0.0
3507b98b39966f6a173f5dca9542e109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	30.0	0.0
bbdd837fc8008149adab2a523af9ff9b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	18.0	24.0	0.0	0.0	0.0	26.0	0.0	0.0
8ee0b479d84300c94fe3bb1ac7973501	0.0	13.0	0.0	0.0	0.0	0.0	30.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
393c35c281163405362cd0fda601d994	0.0	0.0	0.0	0.0	0.0	11.0	29.0	0.0	0.0	12.0	21.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0
82a12b8410a23a6c7f1b328d61e32d7f	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0
2e182b3e7e1a47afea624883009c1d08	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4cda969e29ab7fd44d3cc81dbc376f41	0.0	0.0	0.0	25.0	0.0	0.0	25.0	21.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0
