"","X1","X2","elements","filed","Kingdom","Phylum","Class","Order","Family","Genus","Species","group","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"bac_ASV_558",34.811504392244,12.2520962103192,"bac_ASV_558","bac","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Gp3","Unassigned","bac",0,0,0,0
"bac_ASV_562",-41.74312872942,3.68021127466005,"bac_ASV_562","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_564",-27.2776294009747,32.1431970918253,"bac_ASV_564","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_565",-0.217095039365671,31.0954808417063,"bac_ASV_565","bac","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonas_aurantiaca","bac",2,0.13838550247117,335,2
"bac_ASV_568",-31.3954265729473,-10.3341620296955,"bac_ASV_568","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Unassigned","Unassigned","bac",4,0.205882352941176,656.165242872786,4
"bac_ASV_57",38.9393377537389,-8.25914059304528,"bac_ASV_57","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","Unassigned","bac",0,0,0,0
"bac_ASV_572",-38.3329321792594,11.8828843270464,"bac_ASV_572","bac","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella","Gaiella_occulta","bac",0,0,0,0
"bac_ASV_573",-29.7054226783777,28.3592850351745,"bac_ASV_573","bac","Bacteria","Acidobacteria","Acidobacteria_Gp4","Unassigned","Unassigned","Gp4","Unassigned","bac",0,0,0,0
"bac_ASV_576",-33.6671985658112,8.66180201408608,"bac_ASV_576","bac","Bacteria","Latescibacteria","Unassigned","Unassigned","Unassigned","Latescibacteria_genera_incertae_sedis","Unassigned","bac",1,0.666666666666667,0,1
"bac_ASV_58",9.39571417315473,-31.8931164376112,"bac_ASV_58","bac","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",1,1,0,1
"bac_ASV_580",-37.565706745335,21.0441530434345,"bac_ASV_580","bac","Bacteria","Latescibacteria","Unassigned","Unassigned","Unassigned","Latescibacteria_genera_incertae_sedis","Unassigned","bac",0,0,0,0
