"ID","filed","Kingdom","Phylum","Class","Order","Family","Genus","Species","group","Label"
"bac_ASV_5","bac","Bacteria","Verrucomicrobia","Spartobacteria","Unassigned","Unassigned","Spartobacteria_genera_incertae_sedis","Unassigned","bac","bac_ASV_5"
"bac_ASV_50","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","bac","bac_ASV_50"
"bac_ASV_502","bac","Archaea","Thaumarchaeota","Unassigned","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaera","Unassigned","bac","bac_ASV_502"
"bac_ASV_503","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_heleia","bac","bac_ASV_503"
"bac_ASV_504","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Terrimonas","Terrimonas_rubra","bac","bac_ASV_504"
"bac_ASV_507","bac","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_incertae_sedis","Caldalkalibacillus","Caldalkalibacillus_thermarum","bac","bac_ASV_507"
"bac_ASV_508","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac","bac_ASV_508"
"bac_ASV_51","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","Novosphingobium_arabidopsis","bac","bac_ASV_51"
"bac_ASV_513","bac","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac","bac_ASV_513"
"bac_ASV_52","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Pseudoduganella","Pseudoduganella_violaceinigra","bac","bac_ASV_52"
"bac_ASV_521","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Desertibacter","Desertibacter_roseus","bac","bac_ASV_521"
"bac_ASV_522","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Unassigned","Unassigned","bac","bac_ASV_522"
"bac_ASV_524","bac","Bacteria","Acidobacteria","Acidobacteria_Gp4","Unassigned","Unassigned","Gp4","Unassigned","bac","bac_ASV_524"
"bac_ASV_526","bac","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Gp3","Unassigned","bac","bac_ASV_526"
"bac_ASV_53","bac","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Unassigned","Unassigned","bac","bac_ASV_53"
"bac_ASV_535","bac","Bacteria","Acidobacteria","Acidobacteria_Gp16","Unassigned","Unassigned","Gp16","Unassigned","bac","bac_ASV_535"
